critical_temp,material,alkali_metals,alkaline_earth_metals,transition_metals,posttransition_metals,lanthanoid_metals,metalloids,reactive_nonmetals,noble_gases,tc_quantile
14.8,La1.95Sr0.05Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
30.0,La1.9Sr0.1Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
35.5,La1.775Sr0.225Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
23.3,La1.75Sr0.25Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
18.2,La1.7Sr0.3Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
18.3,La1.65Sr0.35Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
18.3,La1.6Sr0.4Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
37.5,La1.825Sr0.175Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
20.0,La1.85Ca0.15Cu1O4,nan,Ca,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
76.9,Yb16Ba1Cu2O,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
65.3,Yb1.8Ba0.2Cu1O,nan,Ba,Cu,nan,Yb,nan,O,nan,high critical temp(< 74 K)
78.6,Yb6Ba1Cu1O,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
79.3,Yb1.62La0.18Ba0.18Sr0.02Cu1O,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
90.0,Y0.4Ba0.6Cu1O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
90.5,Y0.4Ba0.6Cu1O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
92.0,Er0.5Ba0.5Cu1O,nan,Ba,Cu,nan,Er,nan,O,nan,very high critical temp(< 185 K)
93.2,Tm0.35Ba0.65Cu1O,nan,Ba,Cu,nan,Tm,nan,O,nan,very high critical temp(< 185 K)
94.4,Tm0.3Ba0.7Cu1O,nan,Ba,Cu,nan,Tm,nan,O,nan,very high critical temp(< 185 K)
93.2,Tm0.25Ba0.75Cu1O,nan,Ba,Cu,nan,Tm,nan,O,nan,very high critical temp(< 185 K)
80.5,Tm0.2Ba0.8Cu1O,nan,Ba,Cu,nan,Tm,nan,O,nan,very high critical temp(< 185 K)
48.0,La2Ba4Cu6O14,nan,Ba,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
90.0,Y1Ba2Cu3O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
90.0,Y1.6Ba2.4Cu3O10,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
92.0,Y1.2Ba1.8Cu2O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
80.0,Y0.8Ba1.2Cu1O4,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
85.0,Nd0.4Ba0.6Cu1O,nan,Ba,Cu,nan,Nd,nan,O,nan,very high critical temp(< 185 K)
8.0,Eu0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Eu,nan,O,nan,low critical temp(< 12 K)
13.0,Gd0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Gd,nan,O,nan,moderate critical temp(< 32 K)
91.0,Dy0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Dy,nan,O,nan,very high critical temp(< 185 K)
94.0,Ho0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Ho,nan,O,nan,very high critical temp(< 185 K)
93.0,Er0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Er,nan,O,nan,very high critical temp(< 185 K)
93.0,Tm0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Tm,nan,O,nan,very high critical temp(< 185 K)
91.0,Lu0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Lu,nan,O,nan,very high critical temp(< 185 K)
18.0,Nd2Ba3Cu5O,nan,Ba,Cu,nan,Nd,nan,O,nan,moderate critical temp(< 32 K)
43.0,Sm1Ba2Cu3O,nan,Ba,Cu,nan,Sm,nan,O,nan,high critical temp(< 74 K)
40.0,Gd2Ba3Cu5O,nan,Ba,Cu,nan,Gd,nan,O,nan,high critical temp(< 74 K)
70.0,Y1Ba2Cu3O,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
95.5,Y0.3Ba0.7Cu1O3,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
94.0,Y0.8Ba1.2Cu1O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
88.0,Y0.6Ba0.9Cu1O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
28.0,Ba0.3La1.7Hg0.15Cu0.85O4,nan,Ba,Cu,Hg,La,nan,O,nan,moderate critical temp(< 32 K)
35.5,La1.85Sr0.15Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
79.2,Yb1.6La0.2Ba0.2Cu1O,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
26.0,Sr0.35La1.65Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
92.0,Y0.4Ba0.6Cu1O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
88.0,Yb0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
71.9,Lu1.8Ba0.2Cu1O4,nan,Ba,Cu,nan,Lu,nan,O,nan,high critical temp(< 74 K)
81.0,Y0.9Ba0.1Cu1O4,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
28.0,Ba0.15La1.85Cu1O4,nan,Ba,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
34.7,Sr0.15La1.85Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
21.0,Sr0.2La1.8Cu0.95Ti0.05O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
12.0,Sr0.2La1.8Cu0.99V0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
22.0,Sr0.2La1.8Cu0.99Cr0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
32.0,Sr0.2La1.8Cu0.98Mn0.02O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
30.0,Sr0.2La1.8Cu0.95Fe0.05O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
16.0,Sr0.2La1.8Cu0.95Co0.05O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
21.0,Sr0.2La1.8Cu0.95Ni0.05O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
29.0,Sr0.2La1.8Cu0.99Zn0.01O4,nan,Sr,Cu,Zn,La,nan,O,nan,moderate critical temp(< 32 K)
36.0,Pr0.1La1.7Sr0.2Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
35.0,Nd0.1La1.7Sr0.2Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
32.0,Sm0.1La1.7Sr0.2Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
30.0,Gd0.1La1.7Sr0.2Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
51.0,Y1Ba2Cu2.85Fe0.15O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
33.0,Y1Ba2Cu2.7Fe0.3O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
82.0,Y1Ba2Cu2.97Fe0.03O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
60.0,Y1Ba2Cu2.94Fe0.06O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
54.0,Y1Ba2Cu2.88Fe0.12O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
90.0,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
90.0,Y1Ba2Cu3S1O6,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
72.0,Y1Ba2Cu3Cl1O6,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
92.0,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
93.0,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
94.5,Gd1Ba2Cu3O7,nan,Ba,Cu,nan,Gd,nan,O,nan,very high critical temp(< 185 K)
91.85,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
91.95,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
89.7,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
89.9,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
85.0,Ho1Ba2Cu3O8,nan,Ba,Cu,nan,Ho,nan,O,nan,very high critical temp(< 185 K)
90.5,Y0.1Gd0.9Ba2Cu3O8,nan,Ba,Cu,nan,Gd,nan,O,nan,very high critical temp(< 185 K)
130.0,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
88.8,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
85.5,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
77.3,Y3Ba5Cu4Nb1O18,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
69.0,Sm0.45Ba0.55Cu1O3,nan,Ba,Cu,nan,Sm,nan,O,nan,high critical temp(< 74 K)
84.3,Sm0.4Ba0.6Cu1O3,nan,Ba,Cu,nan,Sm,nan,O,nan,very high critical temp(< 185 K)
86.4,Sm0.33Ba0.67Cu1O7,nan,Ba,Cu,nan,Sm,nan,O,nan,very high critical temp(< 185 K)
88.8,Sm0.3Ba0.7Cu1O3,nan,Ba,Cu,nan,Sm,nan,O,nan,very high critical temp(< 185 K)
73.6,Sm0.25Ba0.75Cu1O3,nan,Ba,Cu,nan,Sm,nan,O,nan,high critical temp(< 74 K)
62.5,Sm0.2Ba0.8Cu1O3,nan,Ba,Cu,nan,Sm,nan,O,nan,high critical temp(< 74 K)
93.1,Sm0.35Ba0.65Cu1O3,nan,Ba,Cu,nan,Sm,nan,O,nan,very high critical temp(< 185 K)
92.0,Y1Ba2Cu3O9,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
22.0,Bi2Sr2Cu2O7,nan,Sr,Cu,Bi,nan,nan,O,nan,moderate critical temp(< 32 K)
6.5,Bi1Sr1Cu1O,nan,Sr,Cu,Bi,nan,nan,O,nan,low critical temp(< 12 K)
85.5,Er1Ba2Cu3O,nan,Ba,Cu,nan,Er,nan,O,nan,very high critical temp(< 185 K)
91.0,Ho1Ba2Cu3O,nan,Ba,Cu,nan,Ho,nan,O,nan,very high critical temp(< 185 K)
93.0,Gd1Ba2Cu3O,nan,Ba,Cu,nan,Gd,nan,O,nan,very high critical temp(< 185 K)
95.0,Y1Ba2Cu3O6.9,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
89.5,Eu1.5Ba1.5Cu3O,nan,Ba,Cu,nan,Eu,nan,O,nan,very high critical temp(< 185 K)
92.5,Gd1.5Ba1.5Cu3O,nan,Ba,Cu,nan,Gd,nan,O,nan,very high critical temp(< 185 K)
90.0,Y1.5Ba1.5Cu3O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
90.0,Yb1.5Ba1.5Cu3O,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
91.6,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
63.9,Y1Ba2Cu2.75Ni0.25O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
88.0,Y1Ba2Cu2.95Al0.05O7,nan,Ba,Cu,Al,nan,nan,O,nan,very high critical temp(< 185 K)
75.0,Y1Ba2Cu2.9Al0.1O7,nan,Ba,Cu,Al,nan,nan,O,nan,very high critical temp(< 185 K)
39.3,La1.85Sr0.15Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
22.6,La1.85Sr0.15Cu0.975Ni0.025O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
4.2,La1.85Sr0.15Cu0.95Ni0.05O4,nan,Sr,Cu,nan,La,nan,O,nan,low critical temp(< 12 K)
82.0,Y1Ba2Cu2.89Al0.11O7,nan,Ba,Cu,Al,nan,nan,O,nan,very high critical temp(< 185 K)
51.0,Y1Ba2Cu2.88Al0.12O7,nan,Ba,Cu,Al,nan,nan,O,nan,high critical temp(< 74 K)
45.0,Y1Ba2Cu2.87Al0.13O7,nan,Ba,Cu,Al,nan,nan,O,nan,high critical temp(< 74 K)
45.0,Y1Ba2Cu2.865Al0.135O7,nan,Ba,Cu,Al,nan,nan,O,nan,high critical temp(< 74 K)
20.0,Y1Ba2Cu2.82Al0.18O7,nan,Ba,Cu,Al,nan,nan,O,nan,moderate critical temp(< 32 K)
92.4,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
91.6,Y1Ba2Cu3O6.8,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
86.0,Er1Ba2Cu3O7,nan,Ba,Cu,nan,Er,nan,O,nan,very high critical temp(< 185 K)
92.5,Y1Ba2Cu3H0.14O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
93.6,Y1Ba2Cu3H0.48O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
93.2,Y1Ba2Cu3H1O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
90.0,Y1Ba2Cu3O9,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
94.9,Eu1Ba2Cu3O7.1,nan,Ba,Cu,nan,Eu,nan,O,nan,very high critical temp(< 185 K)
93.8,Gd1Ba2Cu3O7.08,nan,Ba,Cu,nan,Gd,nan,O,nan,very high critical temp(< 185 K)
92.7,Dy1Ba2Cu3O6.82,nan,Ba,Cu,nan,Dy,nan,O,nan,very high critical temp(< 185 K)
92.9,Ho1Ba2Cu3O6.71,nan,Ba,Cu,nan,Ho,nan,O,nan,very high critical temp(< 185 K)
92.4,Er1Ba2Cu3O6.82,nan,Ba,Cu,nan,Er,nan,O,nan,very high critical temp(< 185 K)
92.5,Tm1Ba2Cu3O6.65,nan,Ba,Cu,nan,Tm,nan,O,nan,very high critical temp(< 185 K)
87.0,Yb1Ba2Cu3O6.71,nan,Ba,Cu,nan,Yb,nan,O,nan,very high critical temp(< 185 K)
89.5,Lu1Ba2Cu3O7,nan,Ba,Cu,nan,Lu,nan,O,nan,very high critical temp(< 185 K)
93.4,Y1Ba2Cu3O6.72,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
95.3,Nd1Ba2Cu3O7.16,nan,Ba,Cu,nan,Nd,nan,O,nan,very high critical temp(< 185 K)
93.5,Sm1Ba2Cu3O7.11,nan,Ba,Cu,nan,Sm,nan,O,nan,very high critical temp(< 185 K)
37.1,La1.85Sr0.15Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
33.0,La1.85Sr0.15Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
65.0,Y1Ba2.01Cu2.81Ni0.19O6.7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
30.0,Y1Ba2.02Cu2.18Zn0.82O7,nan,Ba,Cu,Zn,nan,nan,O,nan,moderate critical temp(< 32 K)
86.0,Y1Ba1.99Cu2.847Ag0.153O6.7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
81.0,Y1Ba2Cu2.902Pt0.098O6.4,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
36.0,Y1Ba2.01Cu2.7Co0.3O6.8,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
71.0,Y1.01Ba2.01Cu2.906Ni0.094O6.7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
63.0,Y1Ba2Cu2.697Mn0.303O6.9,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
57.0,Y1Ba2Cu2.844Fe0.156O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
36.0,Y1.01Ba2.01Cu2.697Fe0.303O,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
88.0,Y1Ba2Cu3O6.9,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
62.0,Y0.99Ba1.99Cu2.847Li0.153O6.4,Li,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
33.0,Y1.01Ba2.03Cu2.808Li0.192O6.6,Li,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
50.0,Y1Ba2Cu2.85Fe0.15O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
57.0,Y1Ba2Cu2.85Fe0.15O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
4.0,Y1Ba2Cu2.7Fe0.3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very low critical temp(< 4 K)
91.0,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
74.0,Y1Ba2Cu2.955Fe0.045O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
59.0,Y1Ba2Cu2.955Fe0.045O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
61.0,Y1Ba2Cu2.895Fe0.105O7,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
90.5,Y1Ba2Cu3F0.825O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
90.3,Y1Ba2Cu3F1.65O5.675,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
93.4,Y1Ba2Cu3F0.066O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
92.2,Y1Ba2Cu3F0.066O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
91.6,Y1Ba2Cu3F0.165O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
90.8,Y1Ba2Cu3F0.016O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
92.1,Y1Ba2Cu3F0.033O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
92.5,Y1Ba2Cu3F0.05O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
86.0,Y1Ba2Cu3O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
87.0,Gd1Ba2Cu3O,nan,Ba,Cu,nan,Gd,nan,O,nan,very high critical temp(< 185 K)
90.0,Er1Ba2Cu3O,nan,Ba,Cu,nan,Er,nan,O,nan,very high critical temp(< 185 K)
92.0,Dy1Ba2Cu3O,nan,Ba,Cu,nan,Dy,nan,O,nan,very high critical temp(< 185 K)
90.0,Ho1Ba2Cu3O,nan,Ba,Cu,nan,Ho,nan,O,nan,very high critical temp(< 185 K)
92.0,Y1Ba2Cu3O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
34.0,La1.85Sr0.15Cu1O4,nan,Sr,Cu,nan,La,nan,O,nan,high critical temp(< 74 K)
30.5,La1.85Sr0.15Cu0.995Ni0.005O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
30.5,La1.85Sr0.15Cu0.99Ni0.01O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
23.0,La1.85Sr0.15Cu0.98Ni0.02O4,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
24.0,La1.85Sr0.15Cu0.97Ni0.03O,nan,Sr,Cu,nan,La,nan,O,nan,moderate critical temp(< 32 K)
110.0,Tl2Ca2Ba1Cu3O,nan,Ca,Cu,Tl,nan,nan,O,nan,very high critical temp(< 185 K)
110.0,Tl2Ca2Ba2Cu3O,nan,Ca,Cu,Tl,nan,nan,O,nan,very high critical temp(< 185 K)
93.5,Y1Ba2Cu3O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
94.0,Y1Ba2Cu2.85Ti0.15O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
92.5,Y1Ba2Cu2.7Ti0.3O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
92.5,Y1Ba2Cu2.55Ti0.45O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
93.5,Y1Ba2Cu2.4Ti0.6O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
88.0,Y1Ba2Cu2.25Ti0.75O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
83.5,Y1Ba2Cu2.1Ti0.9O,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
110.0,Bi1Sr1Ca1Cu2O,nan,Ca,Cu,Bi,nan,nan,O,nan,very high critical temp(< 185 K)
75.0,Bi2Sr1.8Ca1.2Cu2O,nan,Sr,Cu,Bi,nan,nan,O,nan,very high critical temp(< 185 K)
104.0,Bi2Sr3Ca4Cu8O,nan,Ca,Cu,Bi,nan,nan,O,nan,very high critical temp(< 185 K)
106.0,Bi1Sr1Ca1Cu2O,nan,Ca,Cu,Bi,nan,nan,O,nan,very high critical temp(< 185 K)
15.0,La1.85Sr0.15Cu0.925Zn0.025O4,nan,Sr,Cu,Zn,La,nan,O,nan,moderate critical temp(< 32 K)
91.5,Y1Ba2Cu3O7,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
54.0,Y1Ba2Cu2.841Co0.159O6.8,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
62.0,Y1Ba2.01Cu2.806Cr0.194O7.3,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
91.0,Y1Ba2Cu3O6.74,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
91.8,Y1Ba2Cu2.98Fe0.02O6.93,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
91.8,Y1Ba2Cu2.95Fe0.05O6.92,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
76.0,Y1Ba2Cu2.9Fe0.1O6.92,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
49.0,Y1Ba2Cu2.8Fe0.2O6.93,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
31.0,Y1Ba2Cu2.6Fe0.4O7,nan,Ba,Cu,nan,nan,nan,O,nan,moderate critical temp(< 32 K)
91.0,Y1Ba2Cu2.95Al0.05O6.93,nan,Ba,Cu,Al,nan,nan,O,nan,very high critical temp(< 185 K)
92.0,Y1Ba2Cu2.9Al0.1O6.93,nan,Ba,Cu,Al,nan,nan,O,nan,very high critical temp(< 185 K)
85.0,Y1Ba2Cu2.8Al0.2O6.91,nan,Ba,Cu,Al,nan,nan,O,nan,very high critical temp(< 185 K)
73.0,Y1Ba2Cu2.7Al0.3O6.99,nan,Ba,Cu,Al,nan,nan,O,nan,high critical temp(< 74 K)
42.0,Y1Ba2Cu2.6Al0.4O7,nan,Ba,Cu,Al,nan,nan,O,nan,high critical temp(< 74 K)
55.0,Y1Ba2Cu2.9Ni0.1O6.87,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
45.0,Y1Ba2Cu2.8Ni0.2O6.82,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
93.4,Y1Ba2Cu2.98Co0.02O6.9,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
94.3,Y1Ba2Cu2.95Co0.05O6.92,nan,Ba,Cu,nan,nan,nan,O,nan,very high critical temp(< 185 K)
73.0,Y1Ba2Cu2.9Co0.1O6.82,nan,Ba,Cu,nan,nan,nan,O,nan,high critical temp(< 74 K)
